contig	assembly_name	gene_callers_id	start	stop	Archaea_76	Bacteria_71	COG20_CATEGORY	COG20_FUNCTION	COG20_PATHWAY	CyCOGv6	KEGG_BRITE	KEGG_Class	KEGG_Module	KOfam	Protista_83	Ribosomal_RNA_16S	Ribosomal_RNA_23S	Transfer_RNAs	Archaea_76_ACC	Bacteria_71_ACC	COG20_CATEGORY_ACC	COG20_FUNCTION_ACC	COG20_PATHWAY_ACC	CyCOGv6_ACC	KEGG_BRITE_ACC	KEGG_Class_ACC	KEGG_Module_ACC	KOfam_ACC	Protista_83_ACC	Ribosomal_RNA_16S_ACC	Ribosomal_RNA_23S_ACC	Transfer_RNAs_ACC	type
c_000000000024	SQK-NBD114-24_barcode06_2	468.0	6606	7992			Translation, ribosomal structure and biogenesis	tRNA A37 methylthiotransferase MiaB (MiaB) (PDB:4JC0) (PUBMED:17407324;20472640;20584901)	tRNA modification	SSU ribosomal protein S12P methylthiotransferase	Enzymes>>>2. Transferases>>>2.8  Transferring sulfur-containing groups>>>2.8.4  Transferring alkylthio groups>>>2.8.4.4  [ribosomal protein S12] (aspartate89-C3)-methylthiotransferase!!!Ribosome biogenesis>>>Prokaryotic type>>>ribosomal protein modification factors			ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]							J	COG0621	COG0621	CyCOG_60001251	ko01000!!!ko03009			K14441					gene
c_000000000024	SQK-NBD114-24_barcode06_2	468.1	7993	8140																													intergenic
c_000000000024	SQK-NBD114-24_barcode06_2	469.0	8141	8210						DNA-binding transcriptional regulator, MarR family														CyCOG_60002212									gene
c_000000000032	SQK-NBD114-24_barcode06_2	533.0	1	199			Translation, ribosomal structure and biogenesis	23S rRNA pseudoU1915 N3-methylase RlmH (RlmH) (PDB:1NS5)	23S rRNA modification	23S rRNA (pseudouridine1915-N3)-methyltransferase											J	COG1576	COG1576	CyCOG_60001196									gene
c_000000000032	SQK-NBD114-24_barcode06_2	533.1	200	218																													intergenic
c_000000000032	SQK-NBD114-24_barcode06_2	534.0	219	618						hypothetical protein														CyCOG_60001632									gene
c_000000000034	SQK-NBD114-24_barcode06_2	666.0	76214	76571						hypothetical protein														CyCOG_60000976									gene
c_000000000034	SQK-NBD114-24_barcode06_2	666.1	76572	76591																													intergenic
c_000000000034	SQK-NBD114-24_barcode06_2	667.0	76592	76883			Coenzyme transport and metabolism!!!Energy production and conversion	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (UbiH) (PDB:1BF3)	Ubiquinone biosynthesis	2-octaprenyl-6-methoxyphenol hydroxylase											H!!!C	COG0654	COG0654	CyCOG_60000987									gene
c_000000000035	SQK-NBD114-24_barcode06_2	673.0	5710	5944			Inorganic ion transport and metabolism	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)													P	COG4771											gene
c_000000000035	SQK-NBD114-24_barcode06_2	674.0	5933	6314			Coenzyme transport and metabolism!!!Signal transduction mechanisms	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family (AarF) (PDB:4PED)	Ubiquinone biosynthesis	Predicted unusual protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family											H!!!T	COG0661	COG0661	CyCOG_60000231									gene
c_000000000038	SQK-NBD114-24_barcode06_2	699.0	1	997			Translation, ribosomal structure and biogenesis	Tyrosyl-tRNA synthetase (TyrS) (PDB:4OUD)	Aminoacyl-tRNA synthetases	tyrosyl-tRNA synthetase	KEGG Orthology (KO)>>>09120 Genetic Information Processing>>>09122 Translation>>>00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]!!!Enzymes>>>6. Ligases>>>6.1  Forming carbon-oxygen bonds>>>6.1.1  Ligases forming aminoacyl-tRNA and related compounds>>>6.1.1.1  tyrosine---tRNA ligase!!!Amino acid related enzymes>>>Aminoacyl-tRNA synthetase>>>Class I (A)!!!Transfer RNA biogenesis>>>Eukaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Transfer RNA biogenesis>>>Prokaryotic type>>>Aminoacyl-tRNA synthetases (AARSs)>>>Other AARSs!!!Mitochondrial biogenesis>>>Mitochondrial DNA transcription, translation, and replication factors>>>Mitochondrial transcription and translation factors>>>Other mitochondrial DNA transcription and translation factors			tyrosyl-tRNA synthetase [EC:6.1.1.1]							J	COG0162	COG0162	CyCOG_60000522	ko00001!!!ko01000!!!ko01007!!!ko03016!!!ko03016!!!ko03029			K01866					gene
c_000000000039	SQK-NBD114-24_barcode06_2	766.0	56821	57178			Signal transduction mechanisms!!!Signal transduction mechanisms!!!Signal transduction mechanisms	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants (GGDEF) (PDB:6D9M)!!!PAS domain (PAS) (PDB:2MWG)!!!GAF domain (GAF)		GAF domain-containing protein											T!!!T!!!T	COG2199!!!COG2202!!!COG2203		CyCOG_60001375									gene
c_000000000039	SQK-NBD114-24_barcode06_2	766.1	57179	57179																													intergenic
c_000000000039	SQK-NBD114-24_barcode06_2	767.0	57180	57642						hypothetical protein														CyCOG_60001429									gene
c_000000000042	SQK-NBD114-24_barcode06_2	860.0	6279	6666			Energy production and conversion!!!Amino acid transport and metabolism	Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9)	TCA cycle	3-isopropylmalate dehydrogenase											C!!!E	COG0473	COG0473	CyCOG_60000699									gene
c_000000000043	SQK-NBD114-24_barcode06_2	882.1	29677	29916																													intergenic
c_000000000043	SQK-NBD114-24_barcode06_2	883.0	29917	30277	TIM		Carbohydrate transport and metabolism	Triosephosphate isomerase (TpiA) (PDB:1HG3)	Glycolysis	triosephosphate isomerase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00010 Glycolysis / Gluconeogenesis [PATH:ko00010]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00051 Fructose and mannose metabolism [PATH:ko00051]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00562 Inositol phosphate metabolism [PATH:ko00562]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]!!!Enzymes>>>5. Isomerases>>>5.3  Intramolecular oxidoreductases>>>5.3.1  Interconverting aldoses and ketoses, and related compounds>>>5.3.1.1  triose-phosphate isomerase!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of colorectal cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of bladder cancer cells!!!Exosome>>>Exosomal proteins>>>Exosomal proteins of melanoma cells	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism!!!Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate!!!Glycolysis, core module involving three-carbon compounds!!!Gluconeogenesis, oxaloacetate => fructose-6P	triosephosphate isomerase (TIM) [EC:5.3.1.1]					PF00121.18		G	COG0149	COG0149	CyCOG_60000500	ko00001!!!ko00001!!!ko00001!!!ko00001!!!ko01000!!!ko04147!!!ko04147!!!ko04147	M00001!!!M00002!!!M00003	M00001!!!M00002!!!M00003	K01803					gene
c_000000000057	SQK-NBD114-24_barcode06_2	1060.1	4234	4325																													intergenic
c_000000000057	SQK-NBD114-24_barcode06_2	1061.0	4326	4506						Protein of unknown function (DUF2839)														CyCOG_60001282									gene
c_000000000057	SQK-NBD114-24_barcode06_2	1061.1	4507	4627																													intergenic
c_000000000057	SQK-NBD114-24_barcode06_2	1062.0	4628	4832						hypothetical protein														CyCOG_60001669									gene
c_000000000063	SQK-NBD114-24_barcode06_2	1117.0	67	421			Cell wall/membrane/envelope biogenesis	GDP-D-mannose dehydratase (Gmd) (PDB:1DB3)		GDPmannose 4,6-dehydratase											M	COG1089		CyCOG_60001332									gene
c_000000000063	SQK-NBD114-24_barcode06_2	1118.0	365	542			Posttranslational modification, protein turnover, chaperones	Peroxiredoxin (Bcp) (PDB:5IPH)													O	COG1225											gene
c_000000000064	SQK-NBD114-24_barcode06_2	1124.0	2589	3897			Energy production and conversion	Malic enzyme (SfcA) (PDB:1DO8)	Urea cycle	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00620 Pyruvate metabolism [PATH:ko00620]!!!KEGG Orthology (KO)>>>09100 Metabolism>>>09102 Energy metabolism>>>00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]!!!Enzymes>>>1. Oxidoreductases>>>1.1  Acting on the CH-OH group of donors>>>1.1.1  With NAD+ or NADP+ as acceptor>>>1.1.1.40  malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	Pathway modules; Energy metabolism; Carbon fixation!!!Pathway modules; Energy metabolism; Carbon fixation	CAM (Crassulacean acid metabolism), light!!!C4-dicarboxylic acid cycle, NADP - malic enzyme type	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]							C	COG0281	COG0281	CyCOG_60007411	ko00001!!!ko00001!!!ko01000	M00169!!!M00172	M00169!!!M00172	K00029					gene
c_000000000064	SQK-NBD114-24_barcode06_2	1124.1	3898	3995																													intergenic
c_000000000064	SQK-NBD114-24_barcode06_2	1125.0	3996	4212						adenylyltransferase and sulfurtransferase														CyCOG_60000125									gene
c_000000000065	SQK-NBD114-24_barcode06_2	1130.1	2604	3561																													intergenic
c_000000000065	SQK-NBD114-24_barcode06_2	1133.0	3562	3769			Translation, ribosomal structure and biogenesis	Ribosome biogenesis GTPase RsgA (RsgA) (PDB:1T9H)		ribosome biogenesis GTPase											J	COG1162		CyCOG_60000590									gene
c_000000000069	SQK-NBD114-24_barcode06_2	1159.0	1	622						Tetratricopeptide repeat-containing protein														CyCOG_60000188									gene
c_000000000069	SQK-NBD114-24_barcode06_2	1159.1	623	750																													intergenic
c_000000000069	SQK-NBD114-24_barcode06_2	1160.0	751	1018			Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit A (GyrA) (PDB:1SUU)		DNA topoisomerase IV subunit A											L	COG0188		CyCOG_60000069									gene
c_000000000072	SQK-NBD114-24_barcode06_2	1199.0	2	563			Replication, recombination and repair	DNA repair ATPase RecN (RecN) (PDB:4AD8)		DNA replication and repair protein RecN											L	COG0497		CyCOG_60000719									gene
c_000000000076	SQK-NBD114-24_barcode06_2	1237.0	2	569			Lipid transport and metabolism	Long-chain acyl-CoA synthetase (AMP-forming) (FAA1)		long-chain acyl-CoA synthetase											I	COG1022		CyCOG_60000366									gene
c_000000000084	SQK-NBD114-24_barcode06_2	1309.0	227	980			Cell cycle control, cell division, chromosome partitioning!!!Cell wall/membrane/envelope biogenesis	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)		peptidoglycan glycosyltransferase											D!!!M	COG0768		CyCOG_60000161									gene
c_000000000085	SQK-NBD114-24_barcode06_2	1317.0	1	202			Replication, recombination and repair	DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)		DNA gyrase subunit B											L	COG0187		CyCOG_60000176									gene
c_000000000085	SQK-NBD114-24_barcode06_2	1317.1	203	720																													intergenic
c_000000000086	SQK-NBD114-24_barcode06_2	1344.0	9935	11174			Energy production and conversion	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>1. Oxidoreductases>>>1.8  Acting on a sulfur group of donors>>>1.8.->>>1.8.-.-			sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]							C	COG2041			ko00001!!!ko01000			K05301					gene
c_000000000091	SQK-NBD114-24_barcode06_2	1388.0	4054	6943			Inorganic ion transport and metabolism	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)		urea ABC transporter membrane protein	KEGG Orthology (KO)>>>09130 Environmental Information Processing>>>09131 Membrane transport>>>02010 ABC transporters [PATH:ko02010]!!!Transporters>>>ABC transporters, prokaryotic type>>>Phosphate and amino acid transporters>>>Urea transporter			iron complex outermembrane recepter protein							P	COG4771		CyCOG_60001295	ko00001!!!ko02000			K02014					gene
c_000000000091	SQK-NBD114-24_barcode06_2	1388.1	6944	7083																													intergenic
c_000000000091	SQK-NBD114-24_barcode06_2	1389.0	7084	7243			General function prediction only	ABC-type uncharacterized transport system, ATPase component (PUBMED:10686096)		urea ABC transporter ATP-binding protein											R	COG4674		CyCOG_60001294									gene
c_000000000092	SQK-NBD114-24_barcode06_2	1399.0	7370	7541						malonyl-CoA O-methyltransferase														CyCOG_60000525									gene
c_000000000092	SQK-NBD114-24_barcode06_2	1400.0	7530	7785						pimeloyl-[acyl-carrier protein] methyl ester esterase														CyCOG_60000693									gene
c_000000000106	SQK-NBD114-24_barcode06_2	1553.0	2743	3628			Mobilome: prophages, transposons	Transposase		Protein of unknown function (DUF2488)	KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09192 Unclassified: genetic information processing>>>99976 Replication and repair			transposase							X	COG3547		CyCOG_60001481	ko00001			K07486					gene
c_000000000114	SQK-NBD114-24_barcode06_2	1658.0	0	165			Inorganic ion transport and metabolism	ABC-type phosphate transport system, periplasmic component (PstS) (PDB:2Q9T)		phosphate ABC transporter substrate-binding protein, PhoT family											P	COG0226		CyCOG_60000035									gene
c_000000000114	SQK-NBD114-24_barcode06_2	1658.1	166	529																													intergenic
c_000000000118	SQK-NBD114-24_barcode06_2	1693.0	1	409			Lipid transport and metabolism	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	Fatty acid biosynthesis	protochlorophyllide reductase											I	COG1028	COG1028	CyCOG_60001308									gene
c_000000000118	SQK-NBD114-24_barcode06_2	1693.1	410	910																													intergenic
c_000000000118	SQK-NBD114-24_barcode06_2	1694.0	911	1178			Function unknown	Uncharacterized conserved protein (PDB:2LA3)			KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09194 Poorly characterized>>>99997 Function unknown			uncharacterized protein							S	COG3575			ko00001			K09962					gene
c_000000000119	SQK-NBD114-24_barcode06_2	1714.0	14001	14571			Translation, ribosomal structure and biogenesis	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC (MnmC) (PDB:3AWI)	tRNA modification	tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC											J	COG4121	COG4121	CyCOG_60001086									gene
c_000000000133	SQK-NBD114-24_barcode06_2	1861.0	146	410						hypothetical protein														CyCOG_60001599									gene
c_000000000133	SQK-NBD114-24_barcode06_2	1861.1	411	809																													intergenic
c_000000000144	SQK-NBD114-24_barcode06_2	1983.0	0	189						Protein of unknown function (DUF2811)														CyCOG_60000010									gene
c_000000000144	SQK-NBD114-24_barcode06_2	1983.1	190	1288																													intergenic
c_000000000146	SQK-NBD114-24_barcode06_2	2021.0	15657	15876			Coenzyme transport and metabolism	Pyrroloquinoline quinone (PQQ) biosynthesis protein C (PqqC) (PDB:1OTV)													H	COG5424											gene
c_000000000146	SQK-NBD114-24_barcode06_2	2021.1	15877	15918																													intergenic
c_000000000146	SQK-NBD114-24_barcode06_2	2022.0	15919	16030			Carbohydrate transport and metabolism	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	Glycolysis	glyceraldehyde-3-phosphate dehydrogenase (NAD+)											G	COG0057	COG0057	CyCOG_60001385									gene
c_000000000148	SQK-NBD114-24_barcode06_2	2034.0	296	1469			Defense mechanisms	Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)		cation efflux system protein involved in nickel and cobalt tolerance											V	COG0841		CyCOG_60003866									gene
c_000000000149	SQK-NBD114-24_barcode06_2	2085.0	3411	4368			Carbohydrate transport and metabolism	Phosphoglucomutase/phosphomannomutase (Pgm) (PDB:1C47) (PUBMED:30938049)		phosphoglucosamine mutase											G	COG0033		CyCOG_60001246									gene
c_000000000149	SQK-NBD114-24_barcode06_2	2085.1	4369	4610																													intergenic
c_000000000149	SQK-NBD114-24_barcode06_2	2091.0	13435	15349			Inorganic ion transport and metabolism	Outer membrane receptor for ferrienterochelin and colicins (FepA) (PDB:2HDF) (PUBMED:16468998)		hemoglobin/transferrin/lactoferrin receptor protein	Transporters>>>Other transporters>>>Pores ion channels [TC:1]			iron complex outermembrane recepter protein							P	COG4771		CyCOG_60002762	ko02000			K02014					gene
c_000000000149	SQK-NBD114-24_barcode06_2	2091.1	15350	15674																													intergenic
c_000000000149	SQK-NBD114-24_barcode06_2	2092.0	15675	15882						tryptophan-rich conserved hypothetical protein														CyCOG_60001078									gene
c_000000000152	SQK-NBD114-24_barcode06_2	2150.0	26751	27414			Cell motility!!!Intracellular trafficking, secretion, and vesicular transport!!!Extracellular structures	Type II secretory pathway, component PulF (PulF) (PDB:2VMA)		type IV pilus assembly protein PilC											N!!!U!!!W	COG1459		CyCOG_60002343									gene
c_000000000158	SQK-NBD114-24_barcode06_2	2257.0	36135	36462			Replication, recombination and repair	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)		DNA polymerase III, epsilon subunit											L	COG0847		CyCOG_60001019									gene
c_000000000160	SQK-NBD114-24_barcode06_2	2267.0	40	1600			Inorganic ion transport and metabolism	Outer membrane receptor protein, Fe transport (CirA) (PDB:1BY3)		SPFH domain, Band 7 family protein	Transporters>>>Other transporters>>>Pores ion channels [TC:1]			iron complex outermembrane recepter protein							P	COG1629		CyCOG_60000250	ko02000			K02014					gene
c_000000000164	SQK-NBD114-24_barcode06_2	2310.0	1841	3218			Amino acid transport and metabolism	Aminopeptidase N, contains DUF3458 domain (PepN) (PDB:6ATK) (PUBMED:24123841)		aminopeptidase N											E	COG0308		CyCOG_60001089									gene
c_000000000164	SQK-NBD114-24_barcode06_2	2311.0	3091	3778			Translation, ribosomal structure and biogenesis	Valyl-tRNA synthetase (ValS) (PDB:1GAX)	Aminoacyl-tRNA synthetases	valyl-tRNA synthetase											J	COG0525	COG0525	CyCOG_60000144									gene
c_000000000164	SQK-NBD114-24_barcode06_2	2311.1	3779	3876																													intergenic
c_000000000164	SQK-NBD114-24_barcode06_2	2312.0	3877	4030						transcriptional regulator, Crp/Fnr family														CyCOG_60000127									gene
c_000000000164	SQK-NBD114-24_barcode06_2	2312.1	4031	4233																													intergenic
c_000000000164	SQK-NBD114-24_barcode06_2	2313.0	4234	4693			Coenzyme transport and metabolism	ATP:corrinoid adenosyltransferase (BtuR) (PDB:4HUT)	Cobalamine/B12 biosynthesis	cob(I)yrinic acid a,c-diamide adenosyltransferase											H	COG2109	COG2109	CyCOG_60001491									gene
c_000000000166	SQK-NBD114-24_barcode06_2	2322.0	0	141						hypothetical protein														CyCOG_60001759									gene
c_000000000166	SQK-NBD114-24_barcode06_2	2322.1	142	818																													intergenic
c_000000000166	SQK-NBD114-24_barcode06_2	2336.1	15837	19209																													intergenic
c_000000000166	SQK-NBD114-24_barcode06_2	2340.0	19210	19327			Replication, recombination and repair	Superfamily II RNA helicase (Dob10) (PDB:4A4Z)		Superfamily II RNA helicase											L	COG4581		CyCOG_60000089									gene
c_000000000174	SQK-NBD114-24_barcode06_2	2481.0	2	890			Replication, recombination and repair!!!Function unknown	DNA topoisomerase IA (TopA) (PDB:1CY0)!!!Uncharacterized C-terminal domain of topoisomerase IA		DNA topoisomerase I											L!!!S	COG0550!!!COG1754		CyCOG_60000488									gene
c_000000000176	SQK-NBD114-24_barcode06_2	2490.0	2	221						preprotein translocase subunit SecD														CyCOG_60000716									gene
c_000000000176	SQK-NBD114-24_barcode06_2	2491.0	162	276						preprotein translocase subunit SecD														CyCOG_60000716									gene
c_000000000176	SQK-NBD114-24_barcode06_2	2492.0	223	523			Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)		preprotein translocase subunit SecD											U	COG0342		CyCOG_60000716									gene
c_000000000190	SQK-NBD114-24_barcode06_2	2708.0	26920	27724			Cell wall/membrane/envelope biogenesis	Small-conductance mechanosensitive channel MscK (MscK)		hypothetical protein	Transporters>>>Other transporters>>>Pores ion channels [TC:1]			small conductance mechanosensitive channel							M	COG3264		CyCOG_60011268	ko02000			K03442					gene
c_000000000195	SQK-NBD114-24_barcode06_2	2773.0	18748	19594			Lipid transport and metabolism	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	Fatty acid biosynthesis		KEGG Orthology (KO)>>>09190 Not Included in Pathway or Brite>>>09191 Unclassified: metabolism>>>99980 Enzymes with EC numbers!!!Enzymes>>>1. Oxidoreductases>>>1.3  Acting on the CH-CH group of donors>>>1.3.99  With unknown physiological acceptors>>>1.3.99.-			putative acyl-CoA dehydrogenase							I	COG1960	COG1960		ko00001!!!ko01000			K09456					gene
c_000000000195	SQK-NBD114-24_barcode06_2	2773.1	19595	19627																													intergenic
c_000000000195	SQK-NBD114-24_barcode06_2	2774.0	19628	19820						hypothetical protein														CyCOG_60001675									gene
c_000000000195	SQK-NBD114-24_barcode06_2	2775.0	19816	20176						hypothetical protein														CyCOG_60001383									gene
c_000000000195	SQK-NBD114-24_barcode06_2	2775.1	20177	20186																													intergenic
c_000000000195	SQK-NBD114-24_barcode06_2	2776.0	20187	20601			Function unknown	Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)		Pentapeptide repeat-containing protein											S	COG1357		CyCOG_60000957									gene
c_000000000221	SQK-NBD114-24_barcode06_2	3341.0	1	385						FAD binding domain of DNA photolyase														CyCOG_60001468									gene
c_000000000221	SQK-NBD114-24_barcode06_2	3342.0	282	687			Defense mechanisms	Multidrug efflux pump subunit AcrB (AcrB) (PDB:1IWG)		hydrophobic/amphiphilic exporter-1, HAE1 family											V	COG0841		CyCOG_60007360									gene
c_000000000226	SQK-NBD114-24_barcode06_2	3433.1	28065	28320																													intergenic
c_000000000226	SQK-NBD114-24_barcode06_2	3434.0	28321	28477			Carbohydrate transport and metabolism	Transketolase (TktA) (PDB:1AY0)	Pentose phosphate pathway	transketolase											G	COG0021	COG0021	CyCOG_60000052									gene
c_000000000227	SQK-NBD114-24_barcode06_2	3435.0	2	1217			Carbohydrate transport and metabolism	Phosphoglucomutase/phosphomannomutase (Pgm) (PDB:1C47) (PUBMED:30938049)		phosphoglucosamine mutase	KEGG Orthology (KO)>>>09100 Metabolism>>>09101 Carbohydrate metabolism>>>00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]!!!Enzymes>>>5. Isomerases>>>5.4  Intramolecular transferases>>>5.4.2  Phosphotransferases (phosphomutases)>>>5.4.2.10  phosphoglucosamine mutase			alternative ribosome-rescue factor							G	COG0033		CyCOG_60001246	ko00001!!!ko01000			K09890					gene
c_000000000232	SQK-NBD114-24_barcode06_2	3492.0	0	219			Cell cycle control, cell division, chromosome partitioning	Fe-S cluster carrier ATPase, Mrp/ApbC/NBP35 family (Mrp) (PDB:2PH1) (PUBMED:18616280;19114487;31709520)		ATP-binding protein involved in chromosome partitioning											D	COG0489		CyCOG_60000410									gene
c_000000000232	SQK-NBD114-24_barcode06_2	3492.1	220	223																													intergenic
c_000000000232	SQK-NBD114-24_barcode06_2	3493.0	224	467						rod shape determining protein RodA														CyCOG_60000389									gene
c_000000000232	SQK-NBD114-24_barcode06_2	3493.1	468	676																													intergenic
c_000000000232	SQK-NBD114-24_barcode06_2	3494.0	677	2144			Amino acid transport and metabolism	Leucyl aminopeptidase (PepB) (PDB:3H8E) (PUBMED:19553197;23825549)		leucyl aminopeptidase	KEGG Orthology (KO)>>>09100 Metabolism>>>09106 Metabolism of other amino acids>>>00480 Glutathione metabolism [PATH:ko00480]!!!Enzymes>>>3. Hydrolases>>>3.4  Acting on peptide bonds (peptidases)>>>3.4.11  Aminopeptidases>>>3.4.11.1  leucyl aminopeptidase!!!Peptidases and inhibitors>>>Metallo peptidases>>>Family M17: leucyl aminopeptidase family			leucyl aminopeptidase [EC:3.4.11.1]							E	COG0260		CyCOG_60000786	ko00001!!!ko01000!!!ko01002			K01255					gene
